"Line #";"Designator";"Footprint";"Quantity";"Name";"Manufacturer Part Number 1"
"1";"C1, C3";"0603_CAP";"2";"CAP 0603 10UF 25V 20% X5R";"CAP 0603 10UF 25V 20% X5R"
"2";"C2";"0603_CAP";"1";"CAP 0603 4.7UF 35V 10% X5R";"CAP 0603 4.7UF 35V 10% X5R"
"3";"C4, C5";"Nichicon_18x15";"2";"URS1E222MHD";"URS1E222MHD"
"4";"D1";"DIOD-SMA-2_V";"1";"B340A-13-F";"B340A-13-F"
"5";"D2";"Vishay_1N4148W-E3-08";"1";"1N4148W-E3-08";"1N4148W-E3-08"
"6";"F1, F2";"1206_FUSE_40H";"2";"NANOSMDC050F/13.2-2";"NANOSMDC050F/13.2-2"
"7";"F3, F4";"Bel_0ZCF0200AF2C_0";"2";"0ZCF0200AF2C";"0ZCF0200AF2C"
"8";"J1, J2, J3, J4";"te-1217861-1";"4";"1217861-1";"1217861-1"
"9";"J5";"TE_1-776231-1";"1";"1-776231-1";"1-776231-1"
"10";"J6";"B4B-XH-A(LF)(SN)";"1";"B4B-XH-A(LF)(SN)";"B4B-XH-A(LF)(SN)"
"11";"J7";"B2B-XH-A(LF)(SN)";"1";"B2B-XH-A(LF)(SN)";"B2B-XH-A(LF)(SN)"
"12";"J8";"JST_B5B-XH-A_LF_SN_0";"1";"B5B-XH-A(LF)(SN)";"B5B-XH-A(LF)(SN)"
"13";"J9";"B10B-PHDSS";"1";"B10B-PHDSS(LF)(SN)";"B10B-PHDSS(LF)(SN)"
"14";"J10";"CONN_B6B-XH-A(LF";"1";"B6B-XH-A(LF)(SN)";"B6B-XH-A(LF)(SN)"
"15";"J11";"B8B-PH-K";"1";"B8B-PH-K-S(LF)(SN)";"B8B-PH-K-S(LF)(SN)"
"16";"J12";"B4B-PH-K";"1";"B4B-PH-K-S(LF)(SN)";"B4B-PH-K-S(LF)(SN)"
"17";"J13";"CON2_1X2_P163_VM";"1";"1-770872-0";"1-770872-0"
"18";"J14";"B3B-PH-K";"1";"B3B-PH-K-S(LF)(SN)";"B3B-PH-K-S(LF)(SN)"
"19";"J15, J16";"JST_Sales_America_Inc._B2B-PH-K-S_LF_SN_0";"2";"B2B-PH-K-S(LF)(SN)";"B2B-PH-K-S(LF)(SN)"
"20";"J17";"DF22-2P-7.92DSA_05_0";"1";"DF22-2P-7.92DSA(05)";"DF22-2P-7.92DSA(05)"
"21";"L1";"IND_1225AS-H-120M=P2";"1";"1225AS-H-120M=P2";"1225AS-H-120M=P2"
"22";"PS1";"R-78E5.0";"1";"R-78E5.0-0.5";"R-78E5.0-0.5"
"23";"Q1";"SOT23-FET-DI";"1";"DMN3404L-7";"DMN3404L-7"
"24";"R1";"0603_RES";"1";"RES 0603 1K 1%";"RES 0603 1K 1%"
"25";"R2";"0603_RES";"1";"RES 0603 10K 1%";"RES 0603 10K 1%"
"26";"R3, R5";"0603_RES";"2";"RES 0603 0 5%";"RES 0603 0 5%"
"27";"R4";"0603_RES";"1";"RES 0603 2.2K 1%";"RES 0603 2.2K 1%"
"28";"R6";"1206_RES_28H";"1";"RES 1206 2 1%";"RES 1206 2 1%"
"29";"R7, R8";"0805_RES";"2";"RES 0805 10M 1%";"RES 0805 10M 1%"
