"Line #";"Designator";"Footprint";"Quantity";"Library Reference";"Name";"Manufacturer Part Number 1"
"1";"A1";"VICOR_SOCKET_MOD_NOFAN_RA";"1";"VicorASM_ALT";"VicorASM";""
"2";"C1, C2";"NICH_18X25";"2";"URS1E472MHD";"URS1E472MHD";"URS1E472MHD"
"3";"C3";"NICHICON_10X12.5";"1";"UVR1E471MPD1TD";"UVR1E471MPD1TD";"UVR1E471MPD1TD"
"4";"C4, C5, C6, C14, C15, C16";"B32021A3222K000";"6";"B32021A3222K000";"B32021A3222K000";"B32021A3222K000"
"5";"C7";"B32922C3334M000";"1";"B32922C3334M000";"B32922C3334M000";"B32922C3334M000"
"6";"C8";"B32774D";"1";"B32774D4226K000";"B32774D4226K000";"B32774D4226K000"
"7";"C9, C10, C11, C12";"1210_CAP_115H";"4";"CAP 1210 4.7UF 100V 20% X7S";"CAP 1210 4.7UF 100V 20% X7S";"CGA6M3X7S2A475K200AB"
"8";"C13";"Nichicon_18x20";"1";"UHE1H102MHD3";"UHE1H102MHD3";"UHE1H102MHD3"
"9";"C17, C18";"0603_CAP";"2";"CAP 0603 0.047UF 25V 10% X7R";"CAP 0603 0.047UF 25V 10% X7R";"C0603C473K3RACTU"
"10";"C19, C22";"0805_CAP";"2";"CAP 0805 0.1UF 100V 10% X7R";"CAP 0805 0.1UF 100V 10% X7R";"C0805C104K1RACTU"
"11";"C20";"0603_CAP";"1";"CAP 0603 10UF 16V 20% X5R";"CAP 0603 10UF 16V 20% X5R";"EMK107BBJ106MA-T"
"12";"C21";"0603_CAP";"1";"CAP 0603 4.7UF 35V 10% X5R";"CAP 0603 4.7UF 35V 10% X5R";"GRM188R6YA475KE15D"
"13";"C23";"0603_CAP";"1";"CAP 0603 0.1UF 10V 10% X7R";"CAP 0603 0.1UF 10V 10% X7R";"0603ZC104KAT2A"
"14";"C24, C41, C43";"0603_CAP";"3";"CAP 0603 0.1UF 16V 10% X7R";"CAP 0603 0.1UF 16V 10% X7R";"C0603X104K4RACTU"
"15";"C25";"0603_CAP";"1";"CAP 0603 4700PF 50V 10% X7R";"CAP 0603 4700PF 50V 10% X7R";"C0603X472K5RACTU"
"16";"C26, C34";"0603_CAP";"2";"CAP 0603 0.1UF 50V 10% X7R";"CAP 0603 0.1UF 50V 10% X7R";""
"17";"C27, C35";"0603_CAP";"2";"CAP 0603 1UF 50V 10% X7R";"CAP 0603 1UF 50V 10% X7R";""
"18";"C28, C30, C32, C33";"0603_CAP";"4";"CAP 0603 0.1UF 25V 10% X7R";"CAP 0603 0.1UF 25V 10% X7R";""
"19";"C29";"0603_CAP";"1";"CAP 0603 0.01UF 100V 10% X7R";"CAP 0603 0.01UF 100V 10% X7R";""
"20";"C31";"0603_CAP";"1";"CAP 0603 0.01UF 16V 10% X7R";"CAP 0603 0.01UF 16V 10% X7R";""
"21";"C36, C37";"NIC-CAPA2-10X10_V";"2";"UUD1V331MNL1GS";"UUD1V331MNL1GS";"UUD1V331MNL1GS"
"22";"C38, C40";"0603_CAP";"2";"CAP 0603 10UF 25V 20% X5R";"CAP 0603 10UF 25V 20% X5R";""
"23";"C39";"0603_CAP";"1";"CAP 0603 2.2UF 35V 10% X5R";"CAP 0603 2.2UF 35V 10% X5R";""
"24";"C42";"0603_CAP";"1";"CAP 0603 0.01UF 25V 10% X7R";"CAP 0603 0.01UF 25V 10% X7R";""
"25";"D1, D3";"Littelfuse_SP0503BAHTG_0";"2";"SP0503BAHTG";"SP0503BAHTG";"SP0504BAHTG"
"26";"D2";"TO-236 SOT23";"1";"SP0502BAHTG";"SP0502BAHTG";"SP0502BAHTG"
"27";"D4";"SOT23127P600-8N";"1";"SP0504BAHTG";"SP0504BAHTG";"SP0504BAHTG"
"28";"D5";"LEDC2012X135N_SM0805GCL(Primary)";"1";"SM0805GCL";"SM0805GCL";"SM0805GCL"
"29";"D6";"LEDC2012X135N_SM0805YCL(Primary)";"1";"SM0805YCL";"SM0805YCL";"SM0805YCL"
"30";"D7";"LEDC2012X135N_SM0805HCL(Primary)";"1";"SM0805HCL";"SM0805HCL";"SM0805HCL"
"31";"D8";"DIOD-SMA-2_V";"1";"B340A-13-F";"CMP-1667-00003-1";"B340A-13-F"
"32";"D9";"ONSC-SOD-123-2-425-04_V";"1";"SZMMSZ5243BT1G";"CMP-1060-00481-1";"SZMMSZ5243BT1G"
"33";"D10";"MCC-SOD123_V";"1";"CMP-2000-04993-1";"1N4148W-TP";"1N4148W-TP"
"34";"F1";"Keystone_3568_0";"1";"3568";"3568";"3568"
"35";"F2";"1812RF";"1";"MF-MSMF050";"500 mA PTC";"MFMSMF0502"
"36";"FB1";"1812_FB";"1";"FBMH4532HM681-T";"FBMH4532HM681-T";""
"37";"FB2";"1206";"1";"742792114";"Ferrite Chip 50 Ohms";""
"38";"FB3, FB5";"0603";"2";"MMZ1608A252B";"Ferrite Chip 2500 Ohms";""
"39";"FB4";"0805";"1";"742792097";"Ferrite Chip 1500 Ohms";""
"40";"J1";"B2B-XH-A(LF)(SN)";"1";"B2B-XH-A(LF)(SN)";"B2B-XH-A(LF)(SN)";"B2B-XH-A(LF)(SN)"
"41";"J2";"CON2-1X2_RZ_DF22";"1";"DF22-2P-7.92DS(35)";"DF22-2P-7.92DS(35)";"DF22-2P-7.92DS(35)"
"42";"J3, J5";"CON2_1X2_P163_VM";"2";"1-770872-0";"1-770872-0";"1-770872-0"
"43";"J4";"JST_Sales_America_Inc._B2B-PH-K-S_LF_SN_0";"1";"B2B-PH-K-S(LF)(SN)";"B2B-PH-K-S(LF)(SN)";"B2B-PH-K-S(LF)(SN)"
"44";"J6";"S10B-PHDSS";"1";"S10B-PHDSS(LF)(SN)";"S10B-PHDSS(LF)(SN)";"S10B-PHDSS(LF)(SN)"
"45";"J7";"KSTN240";"1";"240";"BASE";"240"
"46";"J8";"B3B-XH-A(LF)(SN)";"1";"B3B-XH-A(LF)(SN)";"B3B-XH-A(LF)(SN)";"B3B-XH-A(LF)(SN)"
"47";"J9";"Con 1x4 UART";"1";"Con_1x4_UART";"Con_1x4_UART";"61300411121"
"48";"J10";"CON_2x3_ICSP";"1";"CON_2x3_ICSP";"CON_2x3_ICSP";"PRPC003DAAN-RC"
"49";"JP1";"18AWG_1CM_LINK";"1";"JP_18AWG";"18AWG Link";""
"50";"L1";"WE-PD-XXL";"1";"7447709100";"7447709100";"7447709100"
"51";"L2";"WE-HCM 1390";"1";"744309033";"744309033";"744309033"
