"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and Ref";"g"
"1";"F2";"0603";"1";"MF-FSMF010X-2";"MF-FSMF010X-2";""
"2";"F1, F3, F5, F6";"5mm x 20mm";"4";"0ADKC0500-BE";"0ADKC0500-BE";""
"3";"F4";"5mm x 20mm";"1";"0ADKC2500-BE";"0ADKC2500-BE";""
"4";"D2";"SOD123";"1";"1N4148W-TP";"1N4148W-TP";""
"5";"F1, F3, F4, F5, F6";"Schurter_0031.8201";"5";"0031.8201";"00318201";""
"6";"H1, H2, H3, H4, H5";"";"5";"0853.0551";"0853.0551";""
"7";"K1";"RY553012";"1";"1393225-5";"RY553012";""
"8";"R3";"AC07";"1";"AC07000001001JAC00";"AC07000001001JAC00";""
"9";"R1, R2";"AC07";"2";"AC07000001002JAC00";"AC07000001002JAC00";""
"10";"J1";"JST_Sales_America_Inc._B2B-PH-K-S_LF_SN_0";"1";"B2B-PH-K-S(LF)(SN)";"B2B-PH-K-S(LF)(SN)";""
"11";"C1";"CAPC2013X145X20ML20";"1";"C2012X7S2A105K125AB";"C2012X7S2A105K125AB";""
"12";"J2, J3, J4";"DF22-1P-7.92DSA(05)";"3";"DF22-1P-7.92DSA(05)";"DF22-1P-7.92DSA(05)";""
"13";"J5, J6, J7, J8";"DF22-2P-7.92DSA_05_0";"4";"DF22-2P-7.92DSA(05)";"DF22-2P-7.92DSA(05)";""
"14";"R4";"0805";"1";"KTR10EZPF6040";"KTR10EZPF6040";""
"15";"U1";"Microchip_C04-189_MFG";"1";"LR8K4-G";"LR8K4-G";""
"16";"D1";"LED_5MM";"1";"WP7113LSECK/J3";"WP7113LSECK/J3";""
