"Index";"Customer Reference";"Footprint";"Quantity";"Name";"Manufacturer Part Number";"Description"
"1";"J1,J2,J1";"";"10";"1-770872-0";"1-770872-0";"CONN HEADER VERT 2POS 4.14MM"
"2";"MP1";"";"5";"LPA-C011301S-10";"LPA-C011301S-10";"LIGHT PIPE 10MM SINGLE VERT SMD"
"3";"R1";"";"10";"KTR10EZPF6040";"KTR10EZPF6040";"RES SMD 604 OHM 1% 1/8W 0805"
"4";"U1";"";"5";"LR8K4-G";"LR8K4-G";"IC REG LINEAR POS ADJ 10MA TO252"
"5";"D1";"";"10";"SM0805HCL";"SM0805HCL";"LED RED CLEAR 0805 SMD"
"6";"";"";"10";"C2012X7S2A105K125AB";"C2012X7S2A105K125AB";"CAP CER 1UF 100V X7S 0805"
"7";"";"";"3";"1812L050/30PR";"1812L050/30PR";"PTC RESET FUSE 30V 500MA 1812"
"8";"";"";"10";"1N4148W-TP";"1N4148W-TP";"DIODE GEN PURP 100V 150MA SOD123"
"9";"";"";"3";"2N7002-7-F";"2N7002-7-F";"MOSFET N-CH 60V 115MA SOT23-3"
"10";"";"";"5";"3339H-1-103LF";"3339H-1-103LF";"TRIMMER 10K OHM 0.5W PC PIN TOP"
"11";"";"";"10";"5000";"5000";"PC TEST POINT MINIATURE RED"
"12";"";"";"10";"5001";"5001";"PC TEST POINT MINIATURE BLACK"
"13";"";"";"25";"5002";"5002";"PC TEST POINT MINIATURE WHITE"
"14";"";"";"5";"5003";"5003";"PC TEST POINT MINIATURE ORANGE"
"15";"";"";"8";"5004";"5004";"PC TEST POINT MINIATURE YELLOW"
"16";"";"";"8";"5115";"5115";"PC TEST POINT MINIATURE BROWN"
"17";"";"";"5";"5116";"5116";"PC TEST POINT MINIATURE GREEN"
"18";"";"";"8";"5117";"5117";"PC TEST POINT MINIATURE BLUE"
"19";"";"";"8";"5118";"5118";"PC TEST POINT MINIATURE GRAY"
"20";"";"";"8";"5119";"5119";"PC TEST POINT MINIATURE PURPLE"
"21";"FB1";"";"5";"742792096";"742792096";"FERRITE BEAD 1 KOHM 0805 1LN"
"22";"";"";"5";"744231261";"744231261";"CMC 300MA 2LN 260 OHM SMD"
"23";"";"";"5";"ACP3225-102-2P-T000";"ACP3225-102-2P-T000";"CMC 1.5A 2LN 1 KOHM SMD"
"24";"";"";"5";"B340A-13-F";"B340A-13-F";"DIODE SCHOTTKY 40V 3A SMA"
"25";"";"";"5";"B4B-XH-A(LF)(SN)";"B4B-XH-A(LF)(SN)";"CONN HEADER VERT 4POS 2.5MM"
"26";"";"";"5";"B8B-PH-K-S(LF)(SN)";"B8B-PH-K-S(LF)(SN)";"CONN HEADER VERT 8POS 2MM"
"27";"";"";"20";"CL10C010BB8NNNC";"CL10C010BB8NNNC";"CAP CER 1PF 50V C0G/NP0 0603"
"28";"";"";"3";"CL-SA-12C-02";"CL-SA-12C-02";"SWITCH SLIDE SPDT 500MA 12V"
"29";"";"";"5";"DF2B6.8AFS,L3M";"DF2B6.8AFS,L3M";"TVS DIODE 5V 7V FSC"
"30";"";"";"5";"DS04-254-2-06BK-SMT-TR";"DS04-254-2-06BK-SMT-TR";"DIP SWITCH, SPST, 2.54 PITCH, FL"
"31";"";"";"5";"ESD5Z12T1G";"ESD5Z12T1G";"TVS DIODE 12V 25V SOD523"
"32";"";"";"5";"FSMSMTR";"FSMSMTR";"SWITCH TACTILE SPST-NO 0.05A 24V"
"33";"";"";"5";"G5V-1-DC12";"G5V-1-DC12";"RELAY GEN PURPOSE SPDT 1A 12VDC"
"34";"";"";"5";"LMV7231SQE/NOPB";"LMV7231SQE/NOPB";"IC COMP HEX WINDOW W/REF 24WQFN"
"35";"";"";"8";"LTC6994CS6-1#TRMPBF";"LTC6994CS6-1#TRMPBF";"IC DELAY BLOCK 8TAP PROG TSOT23"
"36";"";"";"10";"MCP6002T-I/SN";"MCP6002T-I/SN";"IC OPAMP GP 2 CIRCUIT 8SOIC"
"37";"";"";"5";"MF-FSMF010X-2";"MF-FSMF010X-2";"PTC RESET FUSE 15V 100MA 0603"
"38";"";"";"5";"MMZ1608S121ATA00";"MMZ1608S121ATA00";"FERRITE BEAD 120 OHM 0603 1LN"
"39";"";"";"15";"NCS2003SN2T1G";"NCS2003SN2T1G";"IC OPAMP GP 1 CIRCUIT SOT23-5"
"40";"";"";"5";"NMK1205SC";"NMK1205SC";"DC DC CONVERTER +/-5V 2W"
"41";"";"";"20";"SM0805GCL";"SM0805GCL";"LED GREEN CLEAR 0805 SMD"
"42";"";"";"10";"SM0805HCL";"SM0805HCL";"LED RED CLEAR 0805 SMD"
"43";"";"";"5";"SN74AHCT1G32DBVR";"SN74AHCT1G32DBVR";"IC GATE OR 1CH 2-INP SOT23-5"
"44";"";"";"10";"SN74LV1T125DBVR";"SN74LV1T125DBVR";"IC BUF NON-INVERT 5.5V SOT23-5"
"45";"";"";"10";"SN74LVC1G04DBVR";"SN74LVC1G04DBVR";"IC INVERTER 1CH 1-INP SOT23-5"
"46";"";"";"5";"SN74LVC2G74DCTR";"SN74LVC2G74DCTR";"IC FF D-TYPE SNGL 1BIT SM8"
"47";"";"";"10";"SP0504BAHTG";"SP0504BAHTG";"TVS DIODE 5.5V 8.5V SOT23-5"
"48";"";"";"10";"SRN3015-220M";"SRN3015-220M";"FIXED IND 22UH 600MA 622MOHM SMD"
"49";"";"";"10";"SZMMSZ5243BT1G";"SZMMSZ5243BT1G";"DIODE ZENER 13V 500MW SOD123"
"50";"";"";"3";"TEL 3-1223";"TEL 3-1223";"DC DC CONVERTER +/-15V 3W"
"51";"";"";"10";"ERJ-PB3B1003V";"ERJ-PB3B1003V";"RES SMD 100K OHM 0.1% 1/5W 0603"
