x,y,layer1,layer2,voltage1,voltage2,current
293.303,723.697,TOP_LAYER,BOTTOM_LAYER,0.000708462,0.000708462,5.08787e-16
310.607,1834.39,TOP_LAYER,BOTTOM_LAYER,0.000143453,0.000143453,1.48926e-16
310.607,2534.39,TOP_LAYER,BOTTOM_LAYER,0.000120138,0.000120138,1.3031e-16
310.607,2734.39,TOP_LAYER,BOTTOM_LAYER,0.000105885,0.000105885,1.11694e-16
405.303,575.697,TOP_LAYER,BOTTOM_LAYER,4.9979,4.9979,2.3817e-12
456.657,936.072,TOP_LAYER,BOTTOM_LAYER,0.00022986,0.00022986,-0
626.839,425.056,TOP_LAYER,BOTTOM_LAYER,4.9979,4.9979,-3.57255e-12
888.768,461.697,TOP_LAYER,BOTTOM_LAYER,4.99781,4.99789,-0.05
910.607,1834.39,TOP_LAYER,BOTTOM_LAYER,0.000119972,0.000119972,1.3031e-16
910.607,2534.39,TOP_LAYER,BOTTOM_LAYER,0.000103143,0.000103143,-1.3031e-16
910.607,2734.39,TOP_LAYER,BOTTOM_LAYER,9.17828e-05,9.17828e-05,9.30785e-17
977.059,3128.55,TOP_LAYER,BOTTOM_LAYER,9.24801e-05,9.24801e-05,1.56419e-16
1089.27,954.697,TOP_LAYER,BOTTOM_LAYER,4.99785,4.99793,-0.05
1165.3,944.697,TOP_LAYER,BOTTOM_LAYER,0.000699724,0.000699724,1.23563e-15
1165.3,1110.44,TOP_LAYER,BOTTOM_LAYER,4.99797,4.99797,5.35883e-12
1186.41,2173.59,TOP_LAYER,BOTTOM_LAYER,0,3.64195e-05,-0.0539245
1186.41,2573.59,TOP_LAYER,BOTTOM_LAYER,0,3.54926e-05,-0.0525521
1187.07,3142.93,TOP_LAYER,BOTTOM_LAYER,4.99842,4.99842,-7.23255e-12
1327.07,3142.93,TOP_LAYER,BOTTOM_LAYER,8.99511e-05,8.99511e-05,1.22622e-16
1370.3,868.697,TOP_LAYER,BOTTOM_LAYER,4.9979,4.9979,5.95426e-13
1410.3,2334.7,TOP_LAYER,BOTTOM_LAYER,0.000165882,0.000119772,0.0309114
1505.3,2334.7,TOP_LAYER,BOTTOM_LAYER,0.000182639,0.0001299,0.0353558
1517.07,3142.93,TOP_LAYER,BOTTOM_LAYER,4.99864,4.99864,-2.41085e-12
1529.14,2570.86,TOP_LAYER,BOTTOM_LAYER,0.000106921,0.00010909,-0.00399714
1567.23,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99902,4.99877,0.163449
1605.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.000109479,0.000113884,-0.0029529
1635.3,2334.7,TOP_LAYER,BOTTOM_LAYER,0.000219843,0.000138001,0.0548658
1643.13,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99894,4.99879,0.0988898
1647.87,716.697,TOP_LAYER,BOTTOM_LAYER,4.99789,4.99789,-7.14511e-12
1665.06,2564.7,TOP_LAYER,BOTTOM_LAYER,0.000110453,0.000114782,-0.00290264
1720.3,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99885,4.99878,0.0441868
1730.3,369.697,TOP_LAYER,BOTTOM_LAYER,4.99789,4.99789,-1.25039e-11
1730.89,2564.7,TOP_LAYER,BOTTOM_LAYER,0.000111913,0.000115125,-0.00215354
1810.3,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99876,4.99866,0.0636359
1820.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00011353,0.000117483,-0.00265014
1847.07,3142.93,TOP_LAYER,BOTTOM_LAYER,4.99863,4.99863,-7.23255e-12
1870.3,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99871,4.99865,0.0414559
1964.14,2630.86,TOP_LAYER,BOTTOM_LAYER,4.99862,4.99857,0.0883824
2085.3,2364.7,TOP_LAYER,BOTTOM_LAYER,4.99832,4.99832,4.16798e-12
2404.71,2159.38,TOP_LAYER,BOTTOM_LAYER,4.99859,4.99859,-1.19085e-12
2606.45,1907.22,TOP_LAYER,BOTTOM_LAYER,0.00213107,0.00209358,0.0126083
2647.78,1865.88,TOP_LAYER,BOTTOM_LAYER,0.0021261,0.00208786,0.0128602
2647.78,1907.22,TOP_LAYER,BOTTOM_LAYER,0.00213353,0.0020841,0.0166249
2647.78,1948.55,TOP_LAYER,BOTTOM_LAYER,0.00212111,0.00208847,0.010977
2689.12,1907.22,TOP_LAYER,BOTTOM_LAYER,0.00211763,0.0020629,0.0184087
2860.3,2427.7,TOP_LAYER,BOTTOM_LAYER,4.99783,4.9979,-0.05
2878.77,1751.2,TOP_LAYER,BOTTOM_LAYER,4.99724,4.99769,-0.3
2929.8,1224.7,TOP_LAYER,BOTTOM_LAYER,4.99774,4.99782,-0.05
2964.71,1829.7,TOP_LAYER,BOTTOM_LAYER,0.00093714,0.00104376,-0.071479
3024.95,2035.86,TOP_LAYER,BOTTOM_LAYER,4.99781,4.99781,5.35883e-12
