refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,4.9995,0.5,0
VCOMP0,VCOMP0-1,0,-0.25,0
VCOMP0,VCOMP0-2,0,-0.25,0
VCOMP1,VCOMP1-0,4.99657,-0.3,0.555556
VCOMP1,VCOMP1-1,0.00215011,0.0599817,0.555556
VCOMP1,VCOMP1-2,0.00215725,0.0599688,0.555556
VCOMP1,VCOMP1-3,0.00217381,0.059939,0.555556
VCOMP1,VCOMP1-4,0.00208508,0.0600987,0.555556
VCOMP1,VCOMP1-5,0.00213353,0.0600115,0.555556
VCOMP2,VCOMP2-0,4.99726,-0.05,2
VCOMP2,VCOMP2-1,0.00167247,0.05,2
VCOMP3,VCOMP3-0,4.99757,-0.05,2
VCOMP3,VCOMP3-1,0.000879506,0.05,2
VCOMP4,VCOMP4-0,4.99714,-0.05,2
VCOMP4,VCOMP4-1,0.00106682,0.05,2
VCOMP5,VCOMP5-0,4.9973,-0.025,2.66667
VCOMP5,VCOMP5-1,4.9973,-0.025,2.66667
VCOMP5,VCOMP5-2,0.00102729,0.0499999,2.66667
