refdes;partname;type;VALUE
C1;CAP_0603_10UF_25V_20%_X5R;C; CAP_0603_10UF_25V_20%_X5R
C10;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C11;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C12;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C13;CAP_0603_10UF_25V_20%_X5R;C; CAP_0603_10UF_25V_20%_X5R
C14;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C15;CAP_0603_10UF_25V_20%_X5R;C; CAP_0603_10UF_25V_20%_X5R
C16;CAP_0603_1PF_50V_0.05PF_MLO;C; CAP_0603_1PF_50V_0.05PF_MLO
C17;CAP_0603_10UF_25V_20%_X5R;C; CAP_0603_10UF_25V_20%_X5R
C18;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C19;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C2;CAP_0603_1UF_50V_10%_X7R;C; CAP_0603_1UF_50V_10%_X7R
C20;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C21;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C22;CAP_0603_0.1UF_16V_10%_X7R;C; CAP_0603_0.1UF_16V_10%_X7R
C3;CAP_0805_4.7UF_35V_10%_X7R;C; CAP_0805_4.7UF_35V_10%_X7R
C4;CAP_47uF_10V_1206(3216);C; CAP_47uF_10V_1206(3216)
C5;CAP_0603_1UF_50V_10%_X7R;C; CAP_0603_1UF_50V_10%_X7R
C6;CAP_0805_4.7UF_35V_10%_X7R;C; CAP_0805_4.7UF_35V_10%_X7R
C7;CAP_47uF_10V_1206(3216);C; CAP_47uF_10V_1206(3216)
C8;UUD1V331MNL1GS;C; UUD1V331MNL1GS
C9;UUD1V331MNL1GS;C; UUD1V331MNL1GS
D1;B340A-13-F; ; B340A-13-F
D2;SZMMSZ5243BT1G; ; SZMMSZ5243BT1G
D3;ESD5Z12T1G; ; ESD5Z12T1G
D4;SM0805HCL; ; SM0805HCL
D5;SM0805HCL; ; SM0805HCL
D6;1N4148W-TP; ; 1N4148W-TP
D7;SM0805GCL; ; SM0805GCL
D8;SP0503BAHTG; ; SP0503BAHTG
D9;DF2B6.8AFS,L3M; ; DF2B6.8AFS,L3M
F1;MF-FSMF010X-2; ; MF-FSMF010X-2
F2;1812L050/30PR; ; 1812L050/30PR
F3;0454005.MR; ; 0454005.MR
FB1;Ferrite_Chip_1500_Ohms; ; Ferrite_Chip_1500_Ohms
FB2;Ferrite_Chip_120_Ohms; ; Ferrite_Chip_120_Ohms
J1;1-770872-0; ; 1-770872-0
J2;B8B-PH-K-S(LF)(SN); ; B8B-PH-K-S(LF)(SN)
J3;B4B-XH-A(LF)(SN); ; B4B-XH-A(LF)(SN)
J4;1217861-1; ; 1217861-1
K1;G5V-1-DC12; ; G5V-1-DC12
L1;SRN3015-220M;L; SRN3015-220M
L2;744231261;L; 744231261
L3;SRN3015-220M;L; SRN3015-220M
L4;ACP3225-102-2P-T000;L; ACP3225-102-2P-T000
MTG1;PCB_MTG_M3; ; PCB_MTG_M3
MTG2;PCB_MTG_M3; ; PCB_MTG_M3
MTG3;PCB_MTG_M3; ; PCB_MTG_M3
MTG4;PCB_MTG_M3; ; PCB_MTG_M3
NT1;Net_Tie; ; Net_Tie
PS1;TEL_3-1223; ; TEL_3-1223
PS2;NMK1205SC; ; NMK1205SC
Q1;2N7002-7-F; ; 2N7002-7-F
R1;RES_0805_2_1%;R; RES_0805_2_1%
R10;RR0816P-301-D;R; RR0816P-301-D
R11;3339H-1-103LF;R; 3339H-1-103LF
R12;RR0816P-272-D;R; RR0816P-272-D
R13;RT0603DRE072KL;R; RT0603DRE072KL
R14;RR0816P-272-D;R; RR0816P-272-D
R15;RES_0603_620_1%;R; RES_0603_620_1%
R16;RT0805BRE071ML;R; RT0805BRE071ML
R17;RES_0603_49.9K_0.1%;R; RES_0603_49.9K_0.1%
R18;ERA6AEB6813V;R; ERA6AEB6813V
R19;RES_0603_200_1%;R; RES_0603_200_1%
R2;RES_0603_330K_1%;R; RES_0603_330K_1%
R20;RES_0603_620_1%;R; RES_0603_620_1%
R21;RT0805BRE071ML;R; RT0805BRE071ML
R22;RES_0603_47K_1%;R; RES_0603_47K_1%
R23;ERA6AEB6813V;R; ERA6AEB6813V
R24;RES_0805_523K_0.1%;R; RES_0805_523K_0.1%
R25;RES_0603_200_1%;R; RES_0603_200_1%
R26;RES_0603_620_1%;R; RES_0603_620_1%
R27;RT0805BRE071ML;R; RT0805BRE071ML
R28;RES_0603_62.6K_0.1%;R; RES_0603_62.6K_0.1%
R29;RES_0603_100K_0.1%;R; RES_0603_100K_0.1%
R3;RT0805BRE071ML;R; RT0805BRE071ML
R30;RES_0603_100K_0.1%;R; RES_0603_100K_0.1%
R31;RES_0603_62.6K_0.1%;R; RES_0603_62.6K_0.1%
R32;RES_0603_100K_0.1%;R; RES_0603_100K_0.1%
R33;RES_0603_100K_0.1%;R; RES_0603_100K_0.1%
R4;RES_0603_10K_1%;R; RES_0603_10K_1%
