x,y,layer1,layer2,voltage1,voltage2,current
75.2898,58.0142,TOP_LAYER,BOTTOM_LAYER,0,0,-0
129.262,455.327,TOP_LAYER,BOTTOM_LAYER,0.000654366,0.000643215,0.00721718
280.303,1994.7,TOP_LAYER,BOTTOM_LAYER,0.000152037,0.000152085,-3.12221e-05
280.303,2294.7,TOP_LAYER,BOTTOM_LAYER,0.000140753,0.000144767,-0.00259818
310.607,1834.39,TOP_LAYER,BOTTOM_LAYER,0.000156474,0.000153248,0.00427878
310.607,2534.39,TOP_LAYER,BOTTOM_LAYER,0.000136024,0.000137476,-0.00192577
310.607,2734.39,TOP_LAYER,BOTTOM_LAYER,0.000109015,0.000109015,1.07843e-16
355.303,2144.7,TOP_LAYER,BOTTOM_LAYER,0.000144464,0.000146193,-0.00111948
355.303,2444.7,TOP_LAYER,BOTTOM_LAYER,0.000136359,0.000139182,-0.00182745
405.303,575.697,TOP_LAYER,BOTTOM_LAYER,4.99767,4.99767,2.87447e-12
430.303,1994.7,TOP_LAYER,BOTTOM_LAYER,0.000145335,0.00014528,3.55999e-05
430.303,2294.7,TOP_LAYER,BOTTOM_LAYER,0.000138542,0.000140535,-0.00129041
494.67,513.348,TOP_LAYER,BOTTOM_LAYER,0.000709852,0.00071789,-0.00520308
505.303,1844.7,TOP_LAYER,BOTTOM_LAYER,0.000144018,0.000143585,0.00028008
505.303,2144.7,TOP_LAYER,BOTTOM_LAYER,0.000140031,0.000141043,-0.000655306
505.303,2444.7,TOP_LAYER,BOTTOM_LAYER,0.000134379,0.000136565,-0.00141484
523.842,175.217,TOP_LAYER,BOTTOM_LAYER,0.000713893,0.00071729,-0.00219906
580.303,1994.7,TOP_LAYER,BOTTOM_LAYER,0.000139662,0.000140211,-0.000355631
580.303,2294.7,TOP_LAYER,BOTTOM_LAYER,0.000134832,0.00013671,-0.00121508
626.839,425.056,TOP_LAYER,BOTTOM_LAYER,4.99764,4.99764,-4.02426e-12
655.303,1844.7,TOP_LAYER,BOTTOM_LAYER,0.000139024,0.00013999,-0.000624967
655.303,2144.7,TOP_LAYER,BOTTOM_LAYER,0.000135352,0.000137698,-0.00151833
655.303,2444.7,TOP_LAYER,BOTTOM_LAYER,0.000130444,0.000134104,-0.00236904
730.303,1994.7,TOP_LAYER,BOTTOM_LAYER,0.000134902,0.000137163,-0.00146361
730.303,2294.7,TOP_LAYER,BOTTOM_LAYER,0.000129898,0.000133985,-0.00264538
805.303,1844.7,TOP_LAYER,BOTTOM_LAYER,0.000135249,0.000136699,-0.000938685
805.303,2144.7,TOP_LAYER,BOTTOM_LAYER,0.000129937,0.000134449,-0.00292012
805.303,2444.7,TOP_LAYER,BOTTOM_LAYER,0.000123864,0.000130847,-0.00451987
880.303,1994.7,TOP_LAYER,BOTTOM_LAYER,0.000131104,0.000134741,-0.0023543
880.303,2294.7,TOP_LAYER,BOTTOM_LAYER,0.00012482,0.000131612,-0.00439626
888.768,461.697,TOP_LAYER,BOTTOM_LAYER,4.99755,4.99763,-0.05
910.607,1834.39,TOP_LAYER,BOTTOM_LAYER,0.00013329,0.000134547,-0.00166807
910.607,2534.39,TOP_LAYER,BOTTOM_LAYER,0.000119404,0.000125034,-0.00746607
910.607,2734.39,TOP_LAYER,BOTTOM_LAYER,9.66297e-05,9.66297e-05,1.07843e-16
977.059,3128.55,TOP_LAYER,BOTTOM_LAYER,9.55965e-05,9.55965e-05,1.00683e-16
1055.01,545.661,TOP_LAYER,BOTTOM_LAYER,0.00127699,0.00120999,0.0433689
1089.27,954.697,TOP_LAYER,BOTTOM_LAYER,4.99758,4.99766,-0.05
1165.3,1110.44,TOP_LAYER,BOTTOM_LAYER,4.99768,4.99768,-2.29958e-12
1186.41,2173.59,TOP_LAYER,BOTTOM_LAYER,0,3.70005e-05,-0.0528955
1186.41,2573.59,TOP_LAYER,BOTTOM_LAYER,0,3.61151e-05,-0.0516299
1187.07,3142.93,TOP_LAYER,BOTTOM_LAYER,4.99849,4.99849,-9.31087e-12
1327.07,3142.93,TOP_LAYER,BOTTOM_LAYER,9.3233e-05,9.3233e-05,1.77591e-16
1370.3,868.697,TOP_LAYER,BOTTOM_LAYER,4.99768,4.99768,-0
1410.3,2334.7,TOP_LAYER,BOTTOM_LAYER,0.000163138,0.000118404,0.0289553
1505.3,2334.7,TOP_LAYER,BOTTOM_LAYER,0.000179297,0.000128434,0.0329221
1517.07,3142.93,TOP_LAYER,BOTTOM_LAYER,4.99866,4.99866,-9.31087e-12
1529.14,2570.86,TOP_LAYER,BOTTOM_LAYER,0.000107615,0.00010932,-0.00303207
1567.23,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99902,4.99879,0.149518
1595.95,385.164,TOP_LAYER,BOTTOM_LAYER,0.000965586,0.00104663,-0.0524603
1605.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.000109188,0.000113478,-0.00277713
1635.3,2334.7,TOP_LAYER,BOTTOM_LAYER,0.000223661,0.000137462,0.0557941
1643.13,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99893,4.9988,0.0868403
1647.87,716.697,TOP_LAYER,BOTTOM_LAYER,4.99767,4.99767,-7.47362e-12
1665.06,2564.7,TOP_LAYER,BOTTOM_LAYER,0.00011023,0.000114383,-0.00268819
1720.3,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99884,4.99879,0.0279393
1730.3,369.697,TOP_LAYER,BOTTOM_LAYER,4.99764,4.99764,-8.62341e-12
1730.89,2564.7,TOP_LAYER,BOTTOM_LAYER,0.000111441,0.000114702,-0.00211077
1810.3,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99872,4.9986,0.0754569
1820.3,2564.7,TOP_LAYER,BOTTOM_LAYER,0.000113067,0.000116987,-0.00253787
1847.07,3142.93,TOP_LAYER,BOTTOM_LAYER,4.99861,4.99861,-9.31087e-12
1870.3,2819.7,TOP_LAYER,BOTTOM_LAYER,4.99866,4.99859,0.0482993
1964.14,2630.86,TOP_LAYER,BOTTOM_LAYER,4.99854,4.99848,0.111946
2040.43,729.807,TOP_LAYER,BOTTOM_LAYER,0.00156196,0.00148471,0.05
2085.3,2364.7,TOP_LAYER,BOTTOM_LAYER,4.99815,4.99815,1.72468e-12
2404.71,2159.38,TOP_LAYER,BOTTOM_LAYER,4.99852,4.99852,2.87447e-12
2606.45,1907.22,TOP_LAYER,BOTTOM_LAYER,0.00222302,0.00219225,0.00999266
2647.78,1865.88,TOP_LAYER,BOTTOM_LAYER,0.00222053,0.00218789,0.0105982
2647.78,1907.22,TOP_LAYER,BOTTOM_LAYER,0.00222719,0.00218479,0.0137673
2647.78,1948.55,TOP_LAYER,BOTTOM_LAYER,0.00221373,0.00218799,0.00836069
2689.12,1907.22,TOP_LAYER,BOTTOM_LAYER,0.00221312,0.00216767,0.0147578
2860.3,2427.7,TOP_LAYER,BOTTOM_LAYER,4.99775,4.99782,-0.05
2878.77,1751.2,TOP_LAYER,BOTTOM_LAYER,4.99696,4.99742,-0.3
2929.8,1224.7,TOP_LAYER,BOTTOM_LAYER,4.99748,4.99755,-0.05
2964.71,1829.7,TOP_LAYER,BOTTOM_LAYER,0.00125939,0.00134819,-0.0574766
3024.95,2035.86,TOP_LAYER,BOTTOM_LAYER,4.99759,4.99759,4.02426e-12
