refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,4.9995,0.5,0
VCOMP0,VCOMP0-1,0,-0.25,0
VCOMP0,VCOMP0-2,0,-0.25,0
VCOMP1,VCOMP1-0,4.99629,-0.3,0.555556
VCOMP1,VCOMP1-1,0.00223267,0.0599873,0.555556
VCOMP1,VCOMP1-2,0.00224289,0.0599689,0.555556
VCOMP1,VCOMP1-3,0.00226037,0.0599375,0.555556
VCOMP1,VCOMP1-4,0.00216512,0.0601089,0.555556
VCOMP1,VCOMP1-5,0.00222719,0.0599972,0.555556
VCOMP2,VCOMP2-0,4.997,-0.05,2
VCOMP2,VCOMP2-1,0.00213479,0.05,2
VCOMP3,VCOMP3-0,4.99748,-0.05,2
VCOMP3,VCOMP3-1,0.000964809,0.05,2
VCOMP4,VCOMP4-0,4.99688,-0.05,2
VCOMP4,VCOMP4-1,0.00202559,0.05,2
VCOMP5,VCOMP5-0,4.99703,-0.025,2.66667
VCOMP5,VCOMP5-1,4.99703,-0.025,2.66667
VCOMP5,VCOMP5-2,0.00103387,0.0499999,2.66667
