Change Managed Component Library Link : Designator=TP2 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=F32248BE-1D66-4599-A105-4EE1B8B5987C New ItemGUID= Old RevisionGUID=2C4B8FFC-5011-4F7D-97CB-72854665B26D New RevisionGUID=
Change component parameters: Designator = "TP2" ("TP2"); Footprint = "KSTN-5002"; UniqueID = "\WXVZRCSH\JNFGHXLI" ("\WXVZRCSH\JNFGHXLI")
Change component parameters (AddParameter): Name = "Brand"; Value = "KeystoneElectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Color"; Value = "White"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "PhosphorBronze"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "https://ciiva.com/datasheet-click-2917627?src=ciiva&sig=bd195616"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. G, 12/2008"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "7.62mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "KeystoneElectronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.keyelco.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material"; Value = "Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Hole Size"; Value = "1mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Outside Diameter"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Bulk"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Plating"; Value = "Silver"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product"; Value = "TestPoints"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Product Category"; Value = "CircuitBoardHardware-PCB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "True"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "Miniature"; VariantName = "[No Variations]"
