Change Component Comment : Designator=C10 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C11 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C12 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C14 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C18 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C19 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C20 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C21 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C22 Old Comment=0.1UF, 16V, 0603 New Comment=CAP 0603 0.1UF 16V 10% X7R
Change Component Comment : Designator=C17 Old Comment=1PF, 50V, 0603 New Comment=CAP 0603 1PF 50V 0.05PF MLO
Change Component Comment : Designator=C2 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C5 Old Comment=1UF, 50V, 0603 New Comment=CAP 0603 1UF 50V 10% X7R
Change Component Comment : Designator=C3 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C6 Old Comment=4.7UF, 35V, 0805 New Comment=CAP 0805 4.7UF 35V 10% X7R
Change Component Comment : Designator=C1 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C13 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C15 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change Component Comment : Designator=C16 Old Comment=10UF, 25V, 0603 New Comment=CAP 0603 10UF 25V 20% X5R
Change component parameters: Designator = "FB1" ("FB1"); Footprint = "0805"; UniqueID = "\GDJTUDWI\XTRDIKFH" ("\GDJTUDWI\XTRDIKFH")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.we-online.com"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.we-online.com/eisos/pdf/742792097.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "http://octopart.com/partsearch/#search/requestData&q=742792097"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current (mA)"; Value = "1000"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DC Resistance (ohms)"; Value = "0.3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Description in Visual"; Value = "Ferrite SMT 1000mA 1500Ohm Dif Mode 0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "EEE"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Filter type"; Value = "Differential Mode - Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "100 MHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Grade"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Impedance at Freq (ohms)"; Value = "1500"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Wurth Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "742792097"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature Range"; Value = "-55 to +125 °C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "P/N"; Value = "742792097"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PCB Package"; Value = "0805"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Usage"; Value = "Power Supply"; VariantName = "[No Variations]"
Change component parameters: Designator = "FB2" ("FB2"); Footprint = "0603"; UniqueID = "\WXVZRCSH\XGXDTTCA" ("\WXVZRCSH\XGXDTTCA")
