Removed Pin From Net: NetName=GND Pin=D8-1
Removed Pin From Net: NetName=BRAKE_IN Pin=D8-2
Removed Pin From Net: NetName=FAULT_BUF Pin=D8-3
Change Component Footprint: Designator=D8 Old Footprint=LFUS-SOT143-4_V New Footprint=SOT23127P600-8N
Change Component Comment : Designator=D8 Old Comment=SP0503BAHTG New Comment=SP0504BAHTG
Change Managed Component Library Link : Designator=D8 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=6DFCF8BC-5E2F-4EED-B87D-FB30D96DE417 New ItemGUID= Old RevisionGUID=104E6A5A-24B9-4C57-BA93-356C7A68273A New RevisionGUID=
Change component parameters: Designator = "D8" ("D8"); Footprint = "LFUS-SOT143-4_V"; UniqueID = "\MBNRXBXE\OVUXJUOD" ("\MBNRXBXE\OVUXJUOD")
Change component parameters (AddParameter): Name = "Breakdown Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Capacitance"; Value = "30pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Case/Package"; Value = "SOT-23"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "TVS Diodes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Clamping Voltage"; Value = "8.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Composition"; Value = "Zener"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "1.75mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Diode Type"; Value = "Avalanche"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Direction"; Value = "Unidirectional"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Common Anode"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESD Protection"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "1.3mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Leakage Current"; Value = "100nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "3.05mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Littelfuse"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "SP0504BAHTG"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "225mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Reverse Leakage Current"; Value = "100nA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-40°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Channels"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "5"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Unidirectional Channels"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Pulse Power"; Value = "225mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Polarity"; Value = "Bidirectional,Unidirectional"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "225mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Line Protection"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Standoff Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "F3157CT-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "5V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "1.75mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Working Voltage"; Value = "5.5V"; VariantName = "[No Variations]"
Added Pin To Net: NetName=FAULT_BUF Pin=D8-1
Added Pin To Net: NetName=GND Pin=D8-2
Added Pin To Net: NetName=BRAKE_IN Pin=D8-3
Added Pin To Net: NetName=BRAKE_OUT Pin=D8-5
