"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and Ref"
"1";"J1";"CON2_1X2_P163_VM_ALT";"1";"1-770872-0";"1-770872-0"
"2";"D6";"MCC-SOD123_V";"1";"1N4148W-TP";"1N4148W-TP"
"4";"Q1";"DIOD-SOT23-3_V";"1";"2N7002-7-F";"2N7002-7-F"
"5";"F2";"LFUS-1812L05030PR";"1";"1812L050/30PR";"1812L050/30PR"
"6";"R5, R6, R11";"3339H-1-103LF";"3";"3339H-1-103LF";"3339H-1-103LF"
"7";"TP15";"KSTN-5000";"1";"5000";"5000"
"8";"TP16";"KSTN-5001";"1";"5001";"5001"
"9";"TP6, TP14, TP21";"KSTN-5002";"3";"5002";"5002"
"10";"TP24";"KSTN-5003";"1";"5003";"5003"
"11";"TP1, TP5";"KSTN-5004";"2";"5004";"5004"
"12";"TP3, TP4";"KSTN-5115";"2";"5115";"5115"
"13";"TP17";"KSTN-5116";"1";"5116";"5116"
"14";"TP27, TP28";"KSTN-5117";"2";"5117";"5117"
"15";"TP23, TP26";"KSTN-5118";"2";"5118";"5118"
"16";"TP22, TP25";"KSTN-5119";"2";"5119";"5119"
"21";"L2";"WE-CNSW-0805";"1";"744231261";"744231261"
"23";"L4";"TDK-ACP3225-102-2P-T000-4_V";"1";"ACP3225-102-2P-T000";"ACP3225-102-2P-T000"
"24";"J3";"B4B-XH-A(LF)(SN)";"1";"B4B-XH-A(LF)(SN)";"B4B-XH-AM(LF)(SN)"
"25";"J2";"B8B-PH-K";"1";"B8B-PH-K-S(LF)(SN)";"B8B-PH-K-S(LF)(SN)"
"26";"D1";"DIOD-SMA-2_V";"1";"B340A-13-F";"B340A-13-F"
"27";"C4, C7";"CAPC1206(3216)190_N";"2";"CAP 47uF 10V 1206(3216)";"C1206C476M8PACTU"
"28";"C10, C11, C12, C14, C18, C19, C20, C21, C22";"0603_CAP";"9";"CAP 0603 0.1UF 16V 10% X7R";"0603YC104KAT2A"
