Altium Designer Pick and Place Locations
C:\git\AERO_2019-2020\BSPD-2019-2020\Altium\Project Outputs for UVM AERO BSPD\Manufacturing\Pick Place for UVM AERO BSPD.txt

========================================================================================================================
File Design Information:

Date:       05/02/20
Time:       00:58
Revision:   cd3b498b96d30658048e2e957f439fdef7035a35
Variant:    No variations
Units used: mil

Designator Comment                       Layer    Footprint                                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                       
F3         0454005.MR                    TopLayer lf0454Series                              2870.000      560.000       90       "5A 125V AC 125V DC Fuse Board Mount (Cartridge Style Excluded) Surface Mount 2-SMD, Square End Block"                                            
L3         SRN3015-220M                  TopLayer SRN3015-2_V                               1500.000      2435.000      0        "Semi-shielded Power Inductor, 22 uH, +/- 20%, 0.6 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel"                  
L1         SRN3015-220M                  TopLayer SRN3015-2_V                               1495.315      2724.500      0        "Semi-shielded Power Inductor, 22 uH, +/- 20%, 0.6 A, -40 to 125 degC, 3 x 3 x 1.5 mm SMD, RoHS and Halogen Free, Tape and Reel"                  
TP28       5117                          TopLayer KSTN-5117                                 1248.465      1010.000      0        "Test Point, Blue, 1-Pin THD, RoHS, Bulk"                                                                                                         
TP27       5117                          TopLayer KSTN-5117                                 1888.500      281.299       0        "Test Point, Blue, 1-Pin THD, RoHS, Bulk"                                                                                                         
TP26       5118                          TopLayer KSTN-5118                                 1559.252      748.000       0        "Test Point, Grey, 1-Pin THD, RoHS, Bulk"                                                                                                         
TP25       5119                          TopLayer KSTN-5119                                 2190.000      1020.000      0        "Test Point, Purple, 1-Pin THD, RoHS, Bulk"                                                                                                       
TP24       5003                          TopLayer KSTN-5003                                 1408.465      1010.000      0        "Test Point, Orange, 1-Pin THD, RoHS, Bulk"                                                                                                       
TP23       5118                          TopLayer KSTN-5118                                 1480.000      502.165       0        "Test Point, Grey, 1-Pin THD, RoHS, Bulk"                                                                                                         
TP22       5119                          TopLayer KSTN-5119                                 2710.000      1020.000      0        "Test Point, Purple, 1-Pin THD, RoHS, Bulk"                                                                                                       
TP3        5115                          TopLayer KSTN-5115                                 2712.000      2270.000      0        "Test Point, Brown, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP5        5004                          TopLayer KSTN-5004                                 431.604       343.197       0        "Test Point, Yellow, 1-Pin THD, RoHS, Bulk"                                                                                                       
TP4        5115                          TopLayer KSTN-5115                                 2816.535      2170.000      0        "Test Point, Brown, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP1        5004                          TopLayer KSTN-5004                                 580.000       1160.000      0        "Test Point, Yellow, 1-Pin THD, RoHS, Bulk"                                                                                                       
SW2        DS04-254-2-06BK-SMT-TR        TopLayer *SW_DS04-254-2-06BK-SMT-TR                2440.000      1474.803      270      "Dip Switch SPST 6 Position Surface Mount Slide (Standard) Actuator 25mA 24VDC"                                                                   
J4         1217861-1                     TopLayer te-1217861-1                              133.381       580.000       0        "CONN TAB .250 STR QC TIN PCB"                                                                                                                    
FB1        "Ferrite Chip 1500 Ohms"      TopLayer 0805                                      782.402       1425.748      0        "Ferrite Chip 1000 mA 1500 Ohms Differential Mode - Single 0805 Footprint"                                                                        
PS2        NMK1205SC                     TopLayer NMV0505SC                                 1175.000      2385.000      90       "Isolated Module DC DC Converter 2 Output 5V -5V   200mA, 200mA 10.8V - 13.2V Input"                                                              
C20        "CAP 0603 0.1UF 16V 10% X7R"  TopLayer 0603_CAP                                  410.000       626.500       180      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
U1         NCS2003SN2T1G                 TopLayer ONSC-TSOP-5-483-02_V                      2750.000      2530.000      270      "Low Voltage, Rail-to-Rail Output Operational Amplifier, 1.7 to 5.5 V, -40 to 85 degC, 5-Pin TSOP, Pb-Free, Tape and Reel"                        
R33        "RES 0603 100K 0.1%"          TopLayer 0603_RES                                  1110.000      215.000       270      "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
R32        "RES 0603 100K 0.1%"          TopLayer 0603_RES                                  1030.000      215.000       90       "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
R31        "RES 0603 62.6K 0.1%"         TopLayer 0603_RES                                  830.315       100.000       180      "Resistor Surface Mount, 51K Ohms, 0603 Footprint, 0.05% Tolerance 0.1W"                                                                          
R30        "RES 0603 100K 0.1%"          TopLayer 0603_RES                                  638.465       100.000       360      "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
U10        SN74LV1T125DBVR               TopLayer DBV0005A_M                                655.000       605.000       180      "Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable), DBV0005A, LARGE T&R"                                              
L2         744231261                     TopLayer WE-CNSW-0805                              908.165       1100.000      180      "SMD Common Mode Noise Suppressor WE-CNSW, Z = 260 Ohm"                                                                                           
F1         MF-FSMF010X-2                 TopLayer MF-FSMF                                   1053.465      1115.748      180      "Polymeric PTC Resettable Fuse 15V 100mA Ih Surface Mount 0603 (1608 Metric), Concave"                                                            
U11        MCP6002T-I/SN                 TopLayer SOIC-SN8_L                                850.000       255.000       360      "1 MHz, Low-Power Operational Amplifier, 8-Pin SOIC, Industrial Temperature, Tape and Reel"                                                       
R29        "RES 0603 100K 0.1%"          TopLayer 0603_RES                                  595.000       245.000       90       "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
R28        "RES 0603 62.6K 0.1%"         TopLayer 0603_RES                                  675.000       310.000       270      "Resistor Surface Mount, 51K Ohms, 0603 Footprint, 0.05% Tolerance 0.1W"                                                                          
SW1        CL-SA-12C-02                  TopLayer CL-SA-12C-02                              2465.000      2685.000      360      "Slide Switch SPDT Through Hole"                                                                                                                  
R3         RT0805BRE071ML                TopLayer RESC2013X60X35ML10T20                     2123.194      2600.000      180      ""                                                                                                                                                
