Altium Designer Pick and Place Locations
C:\git\AERO_2019-2020\BSPD-2019-2020\Altium\Project Outputs for UVM AERO BSPD\jlcpcb\Pick Place for UVM AERO BSPD.txt

========================================================================================================================
File Design Information:

Date:       03/02/20
Time:       21:59
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                     Layer    Footprint                                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                       
FB1        "Ferrite Chip 1500 Ohms"                    TopLayer 0805                                      782.402       1425.748      0        "Ferrite Chip 1000 mA 1500 Ohms Differential Mode - Single 0805 Footprint"                                                                        
PS2        NMK1205SC                                   TopLayer NMV0505SC                                 1175.000      2385.000      90       "Isolated Module DC DC Converter 2 Output 5V -5V   200mA, 200mA 10.8V - 13.2V Input"                                                              
C20        "CAP 0603 0.1UF 16V 10% X7R"                TopLayer 0603_CAP                                  410.000       626.500       180      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
U1         NCS2003SN2T1G                               TopLayer ONSC-TSOP-5-483-02_V                      2750.000      2530.000      270      "Low Voltage, Rail-to-Rail Output Operational Amplifier, 1.7 to 5.5 V, -40 to 85 degC, 5-Pin TSOP, Pb-Free, Tape and Reel"                        
R37        "RES 0603 100K 0.1%"                        TopLayer 0603_RES                                  1110.000      215.000       270      "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
R36        "RES 0603 100K 0.1%"                        TopLayer 0603_RES                                  1030.000      215.000       90       "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
R35        "RES 0603 62.6K 0.1%"                       TopLayer 0603_RES                                  830.315       100.000       180      "Resistor Surface Mount, 51K Ohms, 0603 Footprint, 0.05% Tolerance 0.1W"                                                                          
R34        "RES 0603 100K 0.1%"                        TopLayer 0603_RES                                  638.465       100.000       360      "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
J4         1217861-1                                   TopLayer 1217861-1                                 141.000       586.000       0        "CONN TAB .250 STR QC TIN PCB"                                                                                                                    
U10        SN74LV1T125DBVR                             TopLayer DBV0005A_M                                655.000       605.000       180      "Single Power Supply, Single BUFFER GATE w/ 3-State Output (active low enable), DBV0005A, LARGE T&R"                                              
L2         744231261                                   TopLayer WE-CNSW-0805                              908.165       1100.000      180      "SMD Common Mode Noise Suppressor WE-CNSW, Z = 260 Ohm"                                                                                           
F1         MF-FSMF010X-2                               TopLayer MF-FSMF                                   1053.465      1115.748      180      "Polymeric PTC Resettable Fuse 15V 100mA Ih Surface Mount 0603 (1608 Metric), Concave"                                                            
U11        MCP6002T-I/SN                               TopLayer SOIC-SN8_L                                850.000       255.000       360      "1 MHz, Low-Power Operational Amplifier, 8-Pin SOIC, Industrial Temperature, Tape and Reel"                                                       
R33        "RES 0603 100K 0.1%"                        TopLayer 0603_RES                                  595.000       245.000       90       "Resistor Surface Mount, 100K Ohms, 0603 Footprint, 0.1% Tolerance 0.1W"                                                                          
R32        "RES 0603 62.6K 0.1%"                       TopLayer 0603_RES                                  675.000       310.000       270      "Resistor Surface Mount, 51K Ohms, 0603 Footprint, 0.05% Tolerance 0.1W"                                                                          
SW1        CL-SA-12C-02                                TopLayer CL-SA-12C-02                              2465.000      2685.000      360      "Slide Switch SPDT Through Hole"                                                                                                                  
R3         RT0805BRE071ML                              TopLayer RESC2013X60X35ML10T20                     2123.194      2600.000      180      ""                                                                                                                                                
R2         "RES 0603 330K 1%"                          TopLayer 0603_RES                                  2134.782      2815.000      360      "Resistor Surface Mount, 330K Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                            
U9         NCS2003SN2T1G                               TopLayer ONSC-TSOP-5-483-02_V                      400.000       734.723       180      "Low Voltage, Rail-to-Rail Output Operational Amplifier, 1.7 to 5.5 V, -40 to 85 degC, 5-Pin TSOP, Pb-Free, Tape and Reel"                        
TP12       5002                                        TopLayer KSTN-5002                                 2955.000      2485.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP11       5002                                        TopLayer KSTN-5002                                 2540.000      2145.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP10       5002                                        TopLayer KSTN-5002                                 3070.000      2160.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP9        5002                                        TopLayer KSTN-5002                                 3065.000      1860.000      90       "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP8        5116                                        TopLayer KSTN-5002                                 1515.000      2585.000      0        "Test Point, Green, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP7        5001                                        TopLayer KSTN-5002                                 1965.000      2300.000      0        "Test Point, Black, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP6        5000                                        TopLayer KSTN-5002                                 1950.000      2645.000      0        "Test Point, Red, 1-Pin THD, RoHS, Bulk"                                                                                                          
TP5        5002                                        TopLayer KSTN-5002                                 2210.000      1990.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP4        5002                                        TopLayer KSTN-5002                                 2479.571      2305.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP3        5002                                        TopLayer KSTN-5002                                 2565.000      2905.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
TP1        5002                                        TopLayer KSTN-5002                                 580.000       1171.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
C10        "CAP 0603 0.1UF 16V 10% X7R"                TopLayer 0603_CAP                                  2855.000      2530.000      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
C22        "CAP 0603 0.1UF 16V 10% X7R"                TopLayer 0603_CAP                                  850.000       410.000       360      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
C21        "CAP 0603 0.1UF 16V 10% X7R"                TopLayer 0603_CAP                                  655.000       485.000       180      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
TP2        5002                                        TopLayer KSTN-5002                                 2815.768      2260.000      0        "Test Point, White, 1-Pin THD, RoHS, Bulk"                                                                                                        
D9         DF2B6.8AFS,L3M                              TopLayer SOD923                                    845.224       3277.000      180      "7V (Typ) Clamp 1A (8/20µs) Ipp Tvs Diode Surface Mount fSC (SOD-923) "                                                                           
K1         Relay_Omron_Electronics_Inc._G5LE-1_DC5_eec TopLayer Omron_Electronics_Inc._G5LE-1_DC5_0       2520.472      753.779       180      "RELAY GEN PURPOSE SPDT 10A 5V"                                                                                                                   
R30        "RES 0603 620 1%"                           TopLayer 0603_RES                                  1884.000      290.000       180      "Resistor Surface Mount, 620 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R24        "RES 0603 620 1%"                           TopLayer 0603_RES                                  2450.000      1725.000      270      "Resistor Surface Mount, 620 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
R23        "RES 0603 200 1%"                           TopLayer 0603_RES                                  1270.276      747.008       270      "Resistor Surface Mount, 200 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                                             
D7         SM0805GCL                                   TopLayer LEDC2012X135N_SM0805GCL(Primary)          1874.000      200.000       0        "Green 574nm LED Indication - Discrete 1.9V 0805 (2012 Metric)"                                                                                   
D5         SM0805HCL                                   TopLayer LEDC2012X135N_SM0805HCL(Primary)          2310.000      1610.000      180      "Red 631nm LED Indication - Discrete 1.9V 0805 (2012 Metric)"                                                                                     
D4         SM0805HCL                                   TopLayer LEDC2012X135N_SM0805HCL(Primary)          2310.000      1490.000      180      "Red 631nm LED Indication - Discrete 1.9V 0805 (2012 Metric)"                                                                                     
C11        "CAP 0603 0.1UF 16V 10% X7R"                TopLayer 0603_CAP                                  2165.000      2435.000      270      "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                                      
