x,y,layer1,layer2,voltage1,voltage2,current
8805.3,6314.7,TOP_LAYER,BOTTOM_LAYER,13.1146,13.1144,0.104348
8805.3,6474.7,TOP_LAYER,BOTTOM_LAYER,13.1171,13.1168,0.183079
8845.3,6554.7,TOP_LAYER,BOTTOM_LAYER,13.1177,13.1178,-0.0613023
8885.3,6314.7,TOP_LAYER,BOTTOM_LAYER,13.1142,13.1141,0.0782358
8885.3,6474.7,TOP_LAYER,BOTTOM_LAYER,13.1173,13.117,0.194859
8885.3,6634.7,TOP_LAYER,BOTTOM_LAYER,13.1188,13.1189,-0.0843868
8938.75,6203.95,TOP_LAYER,BOTTOM_LAYER,13.1126,13.1119,2.05746
8925.3,6554.7,TOP_LAYER,BOTTOM_LAYER,13.1179,13.118,-0.0676939
8925.3,6714.7,TOP_LAYER,BOTTOM_LAYER,13.1199,13.1196,0.172777
8965.3,6154.7,TOP_LAYER,BOTTOM_LAYER,13.1128,13.1126,0.142246
8965.3,6474.7,TOP_LAYER,BOTTOM_LAYER,13.1174,13.1171,0.218714
8965.3,6634.7,TOP_LAYER,BOTTOM_LAYER,13.119,13.1192,-0.0950979
8965.3,6794.7,TOP_LAYER,BOTTOM_LAYER,13.1214,13.1211,0.181521
9018.49,6361.43,TOP_LAYER,BOTTOM_LAYER,13.1145,13.1139,1.66395
9000.3,6284.7,TOP_LAYER,BOTTOM_LAYER,13.1136,13.1133,0.190463
9005.3,6554.7,TOP_LAYER,BOTTOM_LAYER,13.1181,13.1182,-0.0833607
9005.3,6714.7,TOP_LAYER,BOTTOM_LAYER,13.1202,13.1199,0.165399
9005.3,6874.7,TOP_LAYER,BOTTOM_LAYER,13.1225,13.1226,-0.0508013
9045.3,6474.7,TOP_LAYER,BOTTOM_LAYER,13.1175,13.1171,0.250012
9045.3,6634.7,TOP_LAYER,BOTTOM_LAYER,13.1193,13.1194,-0.0809706
9045.3,6954.7,TOP_LAYER,BOTTOM_LAYER,13.1239,13.1237,0.0962007
9097.23,6203.95,TOP_LAYER,BOTTOM_LAYER,13.1124,13.1118,2.0337
9080.3,6324.7,TOP_LAYER,BOTTOM_LAYER,13.1142,13.1138,0.197204
9085.3,6554.7,TOP_LAYER,BOTTOM_LAYER,13.1183,13.1185,-0.0994023
9085.3,6714.7,TOP_LAYER,BOTTOM_LAYER,13.1204,13.1205,-0.0050879
9085.3,6874.7,TOP_LAYER,BOTTOM_LAYER,13.1233,13.1232,0.085175
9085.3,7034.7,TOP_LAYER,BOTTOM_LAYER,13.1248,13.1244,0.205193
9125.3,6154.7,TOP_LAYER,BOTTOM_LAYER,13.1128,13.1127,0.108639
9125.3,6474.7,TOP_LAYER,BOTTOM_LAYER,13.1178,13.1174,0.253654
9125.3,6634.7,TOP_LAYER,BOTTOM_LAYER,13.1197,13.1199,-0.0975551
9125.3,6954.7,TOP_LAYER,BOTTOM_LAYER,13.1248,13.1244,0.248444
9175.97,6361.43,TOP_LAYER,BOTTOM_LAYER,13.1145,13.1139,1.98802
9165.3,6234.7,TOP_LAYER,BOTTOM_LAYER,13.1133,13.1129,0.223618
9165.3,6554.7,TOP_LAYER,BOTTOM_LAYER,13.1187,13.1189,-0.131001
9165.3,6714.7,TOP_LAYER,BOTTOM_LAYER,13.1214,13.1209,0.284438
9205.3,6154.7,TOP_LAYER,BOTTOM_LAYER,13.1129,13.1128,0.0676582
9205.3,6314.7,TOP_LAYER,BOTTOM_LAYER,13.1142,13.1138,0.237053
9205.3,6474.7,TOP_LAYER,BOTTOM_LAYER,13.1181,13.1179,0.148172
9205.3,6634.7,TOP_LAYER,BOTTOM_LAYER,13.1203,13.1205,-0.123768
9205.3,6794.7,TOP_LAYER,BOTTOM_LAYER,13.1234,13.1228,0.398847
9236.77,6929.76,TOP_LAYER,BOTTOM_LAYER,13.13,13.1275,7.26048
9245.3,6714.7,TOP_LAYER,BOTTOM_LAYER,13.1219,13.1215,0.271191
9285.3,6154.7,TOP_LAYER,BOTTOM_LAYER,0.0657327,0.0659453,-0.13528
9285.3,6474.7,TOP_LAYER,BOTTOM_LAYER,0.0618852,0.062226,-0.216864
9285.3,6794.7,TOP_LAYER,BOTTOM_LAYER,13.1237,13.1231,0.361004
9333.45,6046.47,TOP_LAYER,BOTTOM_LAYER,0.0665327,0.0670878,-1.6869
9333.45,6361.43,TOP_LAYER,BOTTOM_LAYER,0.0640994,0.0645632,-1.40954
9325.3,6554.7,TOP_LAYER,BOTTOM_LAYER,0.0610989,0.0612311,-0.0841372
9325.3,6874.7,TOP_LAYER,BOTTOM_LAYER,13.1248,13.1245,0.218239
9325.3,7034.7,TOP_LAYER,BOTTOM_LAYER,13.1266,13.126,0.368575
9365.3,5994.7,TOP_LAYER,BOTTOM_LAYER,0.0659139,0.066121,-0.131821
9365.3,6314.7,TOP_LAYER,BOTTOM_LAYER,0.0644215,0.0646704,-0.158419
9365.3,6474.7,TOP_LAYER,BOTTOM_LAYER,0.061831,0.0620594,-0.145324
9365.3,6634.7,TOP_LAYER,BOTTOM_LAYER,0.0600994,0.06016,-0.0385657
9365.3,6954.7,TOP_LAYER,BOTTOM_LAYER,13.1263,13.1258,0.321864
9412.19,6203.95,TOP_LAYER,BOTTOM_LAYER,0.0655831,0.0660757,-1.49691
9405.3,6554.7,TOP_LAYER,BOTTOM_LAYER,0.0609097,0.0610147,-0.0668276
9405.3,6714.7,TOP_LAYER,BOTTOM_LAYER,0.0589329,0.0590218,-0.0565681
9445.3,6154.7,TOP_LAYER,BOTTOM_LAYER,0.065228,0.0654051,-0.112745
9445.3,6474.7,TOP_LAYER,BOTTOM_LAYER,0.0617322,0.0619406,-0.132623
9445.3,6634.7,TOP_LAYER,BOTTOM_LAYER,0.0598695,0.0599302,-0.038627
9445.3,6794.7,TOP_LAYER,BOTTOM_LAYER,0.0576311,0.0578146,-0.116797
9490.93,6046.47,TOP_LAYER,BOTTOM_LAYER,0.0658544,0.0663668,-1.55717
9490.93,6361.43,TOP_LAYER,BOTTOM_LAYER,0.0635656,0.0640022,-1.32704
9485.3,6234.7,TOP_LAYER,BOTTOM_LAYER,0.0644469,0.0646341,-0.119126
9485.3,6554.7,TOP_LAYER,BOTTOM_LAYER,0.0607392,0.0608213,-0.0522383
9485.3,6714.7,TOP_LAYER,BOTTOM_LAYER,0.0587231,0.0588142,-0.0579261
9485.3,7034.7,TOP_LAYER,BOTTOM_LAYER,0.0534311,0.0543161,-0.563111
9525.3,5994.7,TOP_LAYER,BOTTOM_LAYER,0.0651535,0.0652648,-0.0708308
9525.3,6154.7,TOP_LAYER,BOTTOM_LAYER,0.064657,0.0647691,-0.0713142
9525.3,6474.7,TOP_LAYER,BOTTOM_LAYER,0.0615272,0.0616361,-0.0693057
9525.3,6634.7,TOP_LAYER,BOTTOM_LAYER,0.0597071,0.0597616,-0.0346853
9525.3,6794.7,TOP_LAYER,BOTTOM_LAYER,0.0574091,0.0576535,-0.155454
9550.55,6929.76,TOP_LAYER,BOTTOM_LAYER,0.05,0.0526389,-7.77666
9565.3,6074.7,TOP_LAYER,BOTTOM_LAYER,0.0648312,0.0649383,-0.0681489
9565.3,6234.7,TOP_LAYER,BOTTOM_LAYER,0.0639951,0.0640858,-0.0576931
9565.3,6394.7,TOP_LAYER,BOTTOM_LAYER,0.0625137,0.0626486,-0.0858407
9565.3,6554.7,TOP_LAYER,BOTTOM_LAYER,0.0606003,0.06065,-0.0316075
9565.3,6714.7,TOP_LAYER,BOTTOM_LAYER,0.0586191,0.0587057,-0.0550768
9565.3,7034.7,TOP_LAYER,BOTTOM_LAYER,0.0543398,0.0548381,-0.317072
9605.3,5994.7,TOP_LAYER,BOTTOM_LAYER,0.0648275,0.064895,-0.0429358
9605.3,6154.7,TOP_LAYER,BOTTOM_LAYER,0.0642892,0.0643474,-0.0370388
9605.3,6314.7,TOP_LAYER,BOTTOM_LAYER,0.0631748,0.0632544,-0.0506406
9605.3,6474.7,TOP_LAYER,BOTTOM_LAYER,0.0614393,0.0614893,-0.0318314
9605.3,6634.7,TOP_LAYER,BOTTOM_LAYER,0.0596148,0.0596579,-0.0274187
9605.3,6794.7,TOP_LAYER,BOTTOM_LAYER,0.0575267,0.0576855,-0.101048
9645.3,6074.7,TOP_LAYER,BOTTOM_LAYER,0.0644928,0.0645391,-0.0294941
9645.3,6234.7,TOP_LAYER,BOTTOM_LAYER,0.0636713,0.0637178,-0.0295673
9645.3,6394.7,TOP_LAYER,BOTTOM_LAYER,0.0622722,0.062323,-0.0322714
9645.3,6554.7,TOP_LAYER,BOTTOM_LAYER,0.0605192,0.0605499,-0.0195374
9645.3,6714.7,TOP_LAYER,BOTTOM_LAYER,0.0586104,0.0586772,-0.0425214
9645.3,6874.7,TOP_LAYER,BOTTOM_LAYER,0.0565478,0.0567812,-0.148539
9645.3,7034.7,TOP_LAYER,BOTTOM_LAYER,0.0551537,0.0554655,-0.19843
9685.3,5994.7,TOP_LAYER,BOTTOM_LAYER,0.0645781,0.064617,-0.0247152
9685.3,6154.7,TOP_LAYER,BOTTOM_LAYER,0.0640381,0.0640718,-0.0214614
9685.3,6314.7,TOP_LAYER,BOTTOM_LAYER,0.0629418,0.0629834,-0.0264652
9685.3,6474.7,TOP_LAYER,BOTTOM_LAYER,0.0613719,0.0613976,-0.0163356
9685.3,6634.7,TOP_LAYER,BOTTOM_LAYER,0.0595713,0.0596061,-0.0221243
9685.3,6794.7,TOP_LAYER,BOTTOM_LAYER,0.0576425,0.0577524,-0.0699059
9685.3,6954.7,TOP_LAYER,BOTTOM_LAYER,0.0557884,0.0560936,-0.194229
9725.3,6074.7,TOP_LAYER,BOTTOM_LAYER,0.0642976,0.0643271,-0.0187699
9725.3,6234.7,TOP_LAYER,BOTTOM_LAYER,0.0634797,0.0635126,-0.0209134
9725.3,6394.7,TOP_LAYER,BOTTOM_LAYER,0.062151,0.0621799,-0.018382
9725.3,6554.7,TOP_LAYER,BOTTOM_LAYER,0.0604738,0.060496,-0.0140798
9725.3,6714.7,TOP_LAYER,BOTTOM_LAYER,0.0586249,0.0586855,-0.03854
9725.3,6874.7,TOP_LAYER,BOTTOM_LAYER,0.0567875,0.0569469,-0.101431
9725.3,7034.7,TOP_LAYER,BOTTOM_LAYER,0.0556796,0.0558731,-0.123135
