x,y,layer1,layer2,voltage1,voltage2,current
55.3033,2464.7,TOP_LAYER,BOTTOM_LAYER,0.0198403,0.0193575,0.312519
105.303,2364.7,TOP_LAYER,BOTTOM_LAYER,0.0199783,0.0195211,0.295895
122.271,3036.29,TOP_LAYER,BOTTOM_LAYER,13.0569,13.0569,2.00343e-11
122.271,3426.84,TOP_LAYER,BOTTOM_LAYER,13.1188,13.1188,1.50257e-11
155.303,2464.7,TOP_LAYER,BOTTOM_LAYER,0.0198647,0.0193536,0.330827
205.303,2364.7,TOP_LAYER,BOTTOM_LAYER,0.0200413,0.0195282,0.332087
256.129,3036.29,TOP_LAYER,BOTTOM_LAYER,13.0539,13.0539,2.00343e-11
256.129,3426.84,TOP_LAYER,BOTTOM_LAYER,13.1204,13.1204,-0
295.205,4034.8,TOP_LAYER,BOTTOM_LAYER,0.0146078,0.0146078,5.10366e-13
255.303,2464.7,TOP_LAYER,BOTTOM_LAYER,0.0199261,0.0193304,0.385522
305.303,2364.7,TOP_LAYER,BOTTOM_LAYER,0.0201114,0.0195102,0.389081
381.902,2969.7,TOP_LAYER,BOTTOM_LAYER,13.0488,13.0488,2.06962e-11
468.705,2969.7,TOP_LAYER,BOTTOM_LAYER,12.978,12.978,-4.48417e-11
505.303,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0214879,0.0207321,0.489189
546.136,3437.01,TOP_LAYER,BOTTOM_LAYER,0.0152298,0.0152298,2.65993e-14
546.136,3633.86,TOP_LAYER,BOTTOM_LAYER,13.1295,13.1295,-0
605.303,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0219513,0.0208801,0.69337
655.303,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0218595,0.0210134,0.547682
675.303,3824.7,TOP_LAYER,BOTTOM_LAYER,0.014187,0.0143852,-0.128301
675.303,3905.29,TOP_LAYER,BOTTOM_LAYER,0.0141726,0.014331,-0.102549
705.303,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0212308,0.0207097,0.337347
755.303,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0218921,0.020953,0.607884
774.213,2183.38,TOP_LAYER,BOTTOM_LAYER,0.0273775,0.0245569,7.57075
774.213,2495.19,TOP_LAYER,BOTTOM_LAYER,12.9548,12.9548,-2.8608e-11
805.303,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0208848,0.0204021,0.312464
