refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,13.18,20,0
VCOMP0,VCOMP0-1,0,-20,0
VCOMP1,VCOMP1-0,12.9548,-20,0.005
VCOMP1,VCOMP1-1,0.0273775,20,0.005
VCOMP2,VCOMP2-0,13.1593,-19.9047,0.000125
VCOMP2,VCOMP2-1,13.1543,19.9047,0.000125
VCOMP3,VCOMP3-0,13.1188,-9.7576,0.00321
VCOMP3,VCOMP3-1,13.1204,-10.2424,0.00321
VCOMP3,VCOMP3-2,13.0569,9.52141,0.00321
VCOMP3,VCOMP3-3,13.0539,10.4786,0.00321
VCOMP4,VCOMP4-0,13.0432,-20,0.0015
VCOMP4,VCOMP4-1,12.9832,20,0.0015
VCOMP5,VCOMP5-0,13.1671,-0.0952878,0.125
VCOMP5,VCOMP5-1,13.1433,0.0952878,0.125
