x,y,layer1,layer2,voltage1,voltage2,current
55.3033,2464.7,TOP_LAYER,BOTTOM_LAYER,0.019365,0.0187764,0.380954
105.303,2364.7,TOP_LAYER,BOTTOM_LAYER,0.0195175,0.0190447,0.306055
122.271,3036.29,TOP_LAYER,BOTTOM_LAYER,13.0569,13.0569,1.00172e-11
122.271,3426.84,TOP_LAYER,BOTTOM_LAYER,13.1187,13.1187,5.00858e-12
155.303,2464.7,TOP_LAYER,BOTTOM_LAYER,0.0193958,0.0187913,0.391284
205.303,2364.7,TOP_LAYER,BOTTOM_LAYER,0.0196053,0.0191114,0.319635
256.129,3036.29,TOP_LAYER,BOTTOM_LAYER,13.0536,13.0536,1.00172e-11
256.129,3426.84,TOP_LAYER,BOTTOM_LAYER,13.1203,13.1203,-0
295.205,4034.8,TOP_LAYER,BOTTOM_LAYER,0.011296,0.011296,4.21607e-13
255.303,2464.7,TOP_LAYER,BOTTOM_LAYER,0.0194765,0.0187829,0.448928
305.303,2164.7,TOP_LAYER,BOTTOM_LAYER,0.020259,0.0196955,0.364721
305.303,2364.7,TOP_LAYER,BOTTOM_LAYER,0.0197175,0.0191584,0.361883
355.303,2264.7,TOP_LAYER,BOTTOM_LAYER,0.0203668,0.0195661,0.518319
381.902,2969.7,TOP_LAYER,BOTTOM_LAYER,13.047,13.047,-5.74894e-12
468.705,2969.7,TOP_LAYER,BOTTOM_LAYER,12.9779,12.9779,-3.67932e-11
505.303,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0212248,0.021519,-0.190405
505.303,2464.7,TOP_LAYER,BOTTOM_LAYER,12.9658,12.9658,-0.022898
505.303,2664.7,TOP_LAYER,BOTTOM_LAYER,12.9673,12.9673,0.00353198
505.303,2864.7,TOP_LAYER,BOTTOM_LAYER,12.9696,12.9691,0.332149
546.136,3437.01,TOP_LAYER,BOTTOM_LAYER,0.0118742,0.0118742,1.45087e-14
546.136,3633.86,TOP_LAYER,BOTTOM_LAYER,13.1293,13.1293,1.48569e-11
555.303,2364.7,TOP_LAYER,BOTTOM_LAYER,12.9655,12.9656,-0.0779859
555.303,2564.7,TOP_LAYER,BOTTOM_LAYER,12.9661,12.9663,-0.141074
555.303,2764.7,TOP_LAYER,BOTTOM_LAYER,12.9681,12.968,0.0917552
555.303,2964.7,TOP_LAYER,BOTTOM_LAYER,12.9735,12.97,2.21691
605.303,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0218997,0.0216196,0.181283
605.303,2464.7,TOP_LAYER,BOTTOM_LAYER,12.9652,12.9655,-0.21595
605.303,2664.7,TOP_LAYER,BOTTOM_LAYER,12.967,12.9671,-0.0652643
605.303,2864.7,TOP_LAYER,BOTTOM_LAYER,12.9695,12.969,0.339567
605.303,3064.7,TOP_LAYER,BOTTOM_LAYER,12.9729,12.9703,1.70273
655.303,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0214873,0.0212264,0.168911
655.303,2364.7,TOP_LAYER,BOTTOM_LAYER,12.9649,12.9652,-0.218223
655.303,2764.7,TOP_LAYER,BOTTOM_LAYER,12.9678,12.9678,0.0433818
655.303,2964.7,TOP_LAYER,BOTTOM_LAYER,12.971,12.9696,0.912881
675.303,3824.7,TOP_LAYER,BOTTOM_LAYER,0.0108198,0.0109927,-0.111928
675.303,3905.29,TOP_LAYER,BOTTOM_LAYER,0.0108086,0.0109546,-0.0944807
705.303,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0209417,0.0206477,0.190299
705.303,2664.7,TOP_LAYER,BOTTOM_LAYER,12.9668,12.9669,-0.099585
705.303,2864.7,TOP_LAYER,BOTTOM_LAYER,12.9691,12.9688,0.219346
705.303,3064.7,TOP_LAYER,BOTTOM_LAYER,12.9714,12.97,0.925998
755.303,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0215909,0.0209333,0.425633
755.303,2364.7,TOP_LAYER,BOTTOM_LAYER,12.9643,12.9648,-0.328842
755.303,2764.7,TOP_LAYER,BOTTOM_LAYER,12.9676,12.9675,0.0421084
755.303,2964.7,TOP_LAYER,BOTTOM_LAYER,12.9701,12.9692,0.61724
774.213,2183.38,TOP_LAYER,BOTTOM_LAYER,0.0269384,0.024636,6.17989
774.213,2495.19,TOP_LAYER,BOTTOM_LAYER,12.9606,12.9632,-7.06275
805.303,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0205354,0.020229,0.19835
805.303,2664.7,TOP_LAYER,BOTTOM_LAYER,12.9666,12.9668,-0.0902094
805.303,2864.7,TOP_LAYER,BOTTOM_LAYER,12.9686,12.9684,0.0970959
805.303,3064.7,TOP_LAYER,BOTTOM_LAYER,12.9701,12.9694,0.436753
855.303,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0207586,0.0202316,0.341139
855.303,2364.7,TOP_LAYER,BOTTOM_LAYER,12.9648,12.9651,-0.166027
855.303,2764.7,TOP_LAYER,BOTTOM_LAYER,12.9674,12.9674,-0.0089488
855.303,2964.7,TOP_LAYER,BOTTOM_LAYER,12.9693,12.9688,0.286366
905.303,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0194926,0.0193726,0.07767
905.303,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0205205,0.019606,0.59196
905.303,2464.7,TOP_LAYER,BOTTOM_LAYER,12.9652,12.9653,-0.101519
905.303,2664.7,TOP_LAYER,BOTTOM_LAYER,12.9667,12.9668,-0.0719312
905.303,2864.7,TOP_LAYER,BOTTOM_LAYER,12.9683,12.9682,0.0579903
905.303,3064.7,TOP_LAYER,BOTTOM_LAYER,12.9695,12.9691,0.244602
918.644,3171.08,TOP_LAYER,BOTTOM_LAYER,0.0109348,0.0109348,3.03639e-15
955.303,1864.7,TOP_LAYER,BOTTOM_LAYER,0.0188467,0.0189109,-0.0414926
955.303,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0195544,0.0191856,0.238709
955.303,2364.7,TOP_LAYER,BOTTOM_LAYER,12.9654,12.9655,-0.0602608
955.303,2564.7,TOP_LAYER,BOTTOM_LAYER,12.9659,12.966,-0.103551
955.303,2764.7,TOP_LAYER,BOTTOM_LAYER,12.9673,12.9673,-0.00945039
955.303,2964.7,TOP_LAYER,BOTTOM_LAYER,12.9688,12.9685,0.180001
1005.3,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0188703,0.0187806,0.0580705
1005.3,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0194885,0.0187852,0.455231
1005.3,2464.7,TOP_LAYER,BOTTOM_LAYER,12.9656,12.9657,-0.0248159
1005.3,2664.7,TOP_LAYER,BOTTOM_LAYER,12.9668,12.9668,-0.0440189
1005.3,2864.7,TOP_LAYER,BOTTOM_LAYER,12.9681,12.968,0.0372405
1005.3,3064.7,TOP_LAYER,BOTTOM_LAYER,12.969,12.9688,0.125659
1055.3,1864.7,TOP_LAYER,BOTTOM_LAYER,0.0183931,0.018174,0.14182
1055.3,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0187974,0.0182056,0.38303
1105.3,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0180523,0.0178874,0.106706
1105.3,2164.7,TOP_LAYER,BOTTOM_LAYER,0.0183097,0.0175462,0.494213
1155.3,1864.7,TOP_LAYER,BOTTOM_LAYER,0.0177484,0.0176035,0.0937981
1155.3,2064.7,TOP_LAYER,BOTTOM_LAYER,0.0178914,0.0175089,0.247587
1205.3,1964.7,TOP_LAYER,BOTTOM_LAYER,0.0175488,0.0172787,0.174832
