refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,13.18,20,0
VCOMP0,VCOMP0-1,0,-20,0
VCOMP1,VCOMP1-0,12.9606,-20,0.005
VCOMP1,VCOMP1-1,0.0269384,20,0.005
VCOMP2,VCOMP2-0,13.1592,-19.9044,0.000125
VCOMP2,VCOMP2-1,13.1542,19.9044,0.000125
VCOMP3,VCOMP3-0,13.1187,-9.7576,0.00321
VCOMP3,VCOMP3-1,13.1203,-10.2424,0.00321
VCOMP3,VCOMP3-2,13.0569,9.48154,0.00321
VCOMP3,VCOMP3-3,13.0536,10.5185,0.00321
VCOMP4,VCOMP4-0,13.0431,-20,0.0015
VCOMP4,VCOMP4-1,12.9831,20,0.0015
VCOMP5,VCOMP5-0,13.167,-0.0955666,0.125
VCOMP5,VCOMP5-1,13.1432,0.0955666,0.125
