Change Physical Footprint: Designator=A1 Old Footprint=VICOR_SOCKET_MOD New Footprint=VICOR_SOCKET_MOD
Change Physical Footprint: Designator=C1 Old Footprint=ECA-1VM472 New Footprint=ECA-1VM472
Change Physical Footprint: Designator=C2 Old Footprint=ECA-1VM472 New Footprint=ECA-1VM472
Change Physical Footprint: Designator=C3 Old Footprint=ECA-1VM472 New Footprint=ECA-1VM472
Change Physical Footprint: Designator=C4 Old Footprint=B32021A New Footprint=B32021A
Change Physical Footprint: Designator=C5 Old Footprint=B32021A New Footprint=B32021A
Change Physical Footprint: Designator=C6 Old Footprint=ECA-1VM472 New Footprint=ECA-1VM472
Change Physical Footprint: Designator=C7 Old Footprint=B32021A New Footprint=B32021A
Change Physical Footprint: Designator=C8 Old Footprint=B32021A New Footprint=B32021A
Change Physical Footprint: Designator=C9 Old Footprint=0805_CAP New Footprint=0805_CAP
Change Physical Footprint: Designator=C10 Old Footprint=CAP_CS45101 New Footprint=CAP_CS45101
Change Physical Footprint: Designator=C11 Old Footprint=0805_CAP New Footprint=0805_CAP
Change Physical Footprint: Designator=C12 Old Footprint=0805_CAP_60H New Footprint=0805_CAP_60H
Change Physical Footprint: Designator=C13 Old Footprint=0805_CAP_60H New Footprint=0805_CAP_60H
Change Physical Footprint: Designator=C14 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C15 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C16 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C17 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C18 Old Footprint=0805_CAP_60H New Footprint=0805_CAP_60H
Change Physical Footprint: Designator=C19 Old Footprint=0805_CAP_60H New Footprint=0805_CAP_60H
Change Physical Footprint: Designator=C20 Old Footprint=CAP_CS45101 New Footprint=CAP_CS45101
Change Physical Footprint: Designator=C21 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C22 Old Footprint=CAPC1608X90X35LL10T15 New Footprint=CAPC1608X90X35LL10T15
Change Physical Footprint: Designator=C23 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C24 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C25 Old Footprint=B32021A New Footprint=B32021A
Change Physical Footprint: Designator=C26 Old Footprint=B32922C3334M000 New Footprint=B32922C3334M000
Change Physical Footprint: Designator=C27 Old Footprint=B32774D New Footprint=B32774D
Change Physical Footprint: Designator=C28 Old Footprint=B32021A New Footprint=B32021A
Change Physical Footprint: Designator=C29 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=C30 Old Footprint=0603_CAP New Footprint=0603_CAP
Change Physical Footprint: Designator=D1 Old Footprint=D2PAK New Footprint=D2PAK
Change Physical Footprint: Designator=D2 Old Footprint=D2PAK New Footprint=D2PAK
Change Physical Footprint: Designator=F1 Old Footprint=Keystone_3557-2_0 New Footprint=Keystone_3557-2_0
Change Physical Footprint: Designator=F2 Old Footprint=Keystone_3557-2_0 New Footprint=Keystone_3557-2_0
Change Physical Footprint: Designator=FB1 Old Footprint=1206 New Footprint=1206
Change Physical Footprint: Designator=FB2 Old Footprint=0603 New Footprint=0603
Change Physical Footprint: Designator=FB3 Old Footprint=0603 New Footprint=0603
Change Physical Footprint: Designator=J1 Old Footprint=IPL1-110-01-F-D-RA-K New Footprint=IPL1-110-01-F-D-RA-K
Change Physical Footprint: Designator=J2 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J3 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J4 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J5 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J6 Old Footprint=JST_Sales_America_Inc._B2B-PH-K-S_LF_SN_0 New Footprint=JST_Sales_America_Inc._B2B-PH-K-S_LF_SN_0
Change Physical Footprint: Designator=J7 Old Footprint=MOLX-22-23-2031_V New Footprint=MOLX-22-23-2031_V
Change Physical Footprint: Designator=L1 Old Footprint=WE-GF-M New Footprint=WE-GF-M
Change Physical Footprint: Designator=L2 Old Footprint=WE-HCI-7050 New Footprint=WE-HCI-7050
Change Physical Footprint: Designator=L3 Old Footprint=B82722J New Footprint=B82722J
Change Physical Footprint: Designator=PS1 Old Footprint=RECOM_R-78E5.0-0.5_0 New Footprint=RECOM_R-78E5.0-0.5_0
Change Physical Footprint: Designator=R1 Old Footprint=RES_TWM5 New Footprint=RES_TWM5
Change Physical Footprint: Designator=R2 Old Footprint=0805_RES New Footprint=0805_RES
Change Physical Footprint: Designator=R3 Old Footprint=2512_RES New Footprint=2512_RES
Change Physical Footprint: Designator=R4 Old Footprint=2512_RES New Footprint=2512_RES
Change Physical Footprint: Designator=R5 Old Footprint=15F New Footprint=15F
Change Physical Footprint: Designator=R6 Old Footprint=0603_RES New Footprint=0603_RES
Change Physical Footprint: Designator=R7 Old Footprint=TT_Electronics_91AR50KLF_0 New Footprint=TT_Electronics_91AR50KLF_0
