Change Physical Footprint: Designator=D1 Old Footprint=MCC-SOD123_V New Footprint=MCC-SOD123_V
Change Physical Footprint: Designator=F1 Old Footprint=Schurter_0031.8201_ASM New Footprint=Schurter_0031.8201_ASM
Change Physical Footprint: Designator=F2 Old Footprint=Schurter_0031.8201_ASM New Footprint=Schurter_0031.8201_ASM
Change Physical Footprint: Designator=F3 Old Footprint=Schurter_0031.8201_ASM New Footprint=Schurter_0031.8201_ASM
Change Physical Footprint: Designator=F4 Old Footprint=Schurter_0031.8201_ASM New Footprint=Schurter_0031.8201_ASM
Change Physical Footprint: Designator=F5 Old Footprint=MF-FSMF New Footprint=MF-FSMF
Change Physical Footprint: Designator=F6 Old Footprint=Schurter_0031.8201_ASM New Footprint=Schurter_0031.8201_ASM
Change Physical Footprint: Designator=J1 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J2 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J3 Old Footprint=te-1217861-1 New Footprint=te-1217861-1
Change Physical Footprint: Designator=J4 Old Footprint=te-1217861-1 New Footprint=te-1217861-1
Change Physical Footprint: Designator=J5 Old Footprint=te-1217861-1 New Footprint=te-1217861-1
Change Physical Footprint: Designator=J6 Old Footprint=te-1217861-1 New Footprint=te-1217861-1
Change Physical Footprint: Designator=J7 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J8 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J9 Old Footprint=JST_Sales_America_Inc._B2B-PH-K-S_LF_SN_0 New Footprint=JST_Sales_America_Inc._B2B-PH-K-S_LF_SN_0
Change Physical Footprint: Designator=J10 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J11 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J12 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J13 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J14 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=J15 Old Footprint=CON2_1X2_P163_VM New Footprint=CON2_1X2_P163_VM
Change Physical Footprint: Designator=K1 Old Footprint=G2RL_NoPin3 New Footprint=G2RL_NoPin3
Change Physical Footprint: Designator=MTG1 Old Footprint=MTG-M3 New Footprint=MTG-M3
Change Physical Footprint: Designator=MTG2 Old Footprint=MTG-M3 New Footprint=MTG-M3
Change Physical Footprint: Designator=MTG3 Old Footprint=MTG-M3 New Footprint=MTG-M3
Change Physical Footprint: Designator=MTG4 Old Footprint=MTG-M3 New Footprint=MTG-M3
Change Physical Footprint: Designator=NT1 Old Footprint=60MIL_TIE New Footprint=60MIL_TIE
Change Physical Footprint: Designator=NT2 Old Footprint=60MIL_TIE New Footprint=60MIL_TIE
Change Physical Footprint: Designator=NT3 Old Footprint=60MIL_TIE New Footprint=60MIL_TIE
Change Physical Footprint: Designator=NT4 Old Footprint=20MIL_TIE New Footprint=20MIL_TIE
Change Physical Footprint: Designator=P1 Old Footprint=APP_ASM New Footprint=APP_ASM
Change Physical Footprint: Designator=R1 Old Footprint=L25 New Footprint=L25
Change Physical Footprint: Designator=R2 Old Footprint=45F10KE New Footprint=45F10KE
Change Physical Footprint: Designator=R3 Old Footprint=45F10KE New Footprint=45F10KE
