Change component parameters: Designator = "D1" ("D1"); Footprint = "MCC-SOD123_V"; UniqueID = "\XYVLBTFI" ("\XYVLBTFI")
Change component parameters (AddParameter): Name = "Average Forward Current-Max"; Value = "0.15A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "GLV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet URL"; Value = "https://datasheet.ciiva.com/16836/1n4148wsod123-16836277.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Datasheet Version"; Value = "Rev. C, 07/2014"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Micro Commercial Components"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer URL"; Value = "http://www.mccsemi.com/"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Description"; Value = "2-Pin Small Outline Diode, Body 2.7 x 1.6 mm, Height 1.35 mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Reference"; Value = "SOD123"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package URL"; Value = "http://www.mccsemi.com/up_pdf/1N4448W(SOD-123).pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Peak Current-Max"; Value = "2A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "400mW"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Recovery Time-Max"; Value = "4ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Reverse Voltage-Max [Vrrm]"; Value = "100V"; VariantName = "[No Variations]"
Change component parameters: Designator = "F5" ("F5"); Footprint = "MF-FSMF"; UniqueID = "\RHTNAEOD" ("\RHTNAEOD")
Change component parameters (AddParameter): Name = "ClassName"; Value = "GLV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "MF-FSMF010X-2CT-ND"; VariantName = "[No Variations]"
Change component parameters: Designator = "J3" ("J3"); Footprint = "te-1217861-1"; UniqueID = "\CHSAPLYY" ("\CHSAPLYY")
Change component parameters (AddParameter): Name = "Body Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Body Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "GLV"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Depth"; Value = "7.92mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ELV"; Value = "Compliant"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Hole Diameter"; Value = "0.055inch"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulated Wire Support"; Value = "Yes"; VariantName = "[No Variations]"
