"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"G***";"AERO_Logo_15x6mm";1;"LOGO";;;
2;"J2";"DF22-2P-7.92DSA05";1;"DF22-2P-7.92DSA(05)";;;
3;"R8,R3";"KRL6432E-M-R003-F-T1";2;"KRL6432E-M-R003-F-T1";;;
4;"J4";"TE_1-776200-1_23pin_Vertical";1;"TE 776228-1";;;
5;"J3";"TE_MATE-N-LOK_1-770870-x_1x03_P4.14mm_Vertical";1;"TE 1-770872-0";;;
6;"C9,C11,C7";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"0.1uF";;;
7;"J1";"JST_PHD_B8B-PHDSS_2x04_P2.00mm_Vertical";1;"B10B-PHDSS(LF)(SN)";;;
8;"U4,U3";"SOIC-8_3.9x4.9mm_P1.27mm";2;"INA219AIDR";;;
9;"U2";"SOT-23-6_Handsoldering";1;"LM74700QDBVTQ1";;;
10;"U1";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"R-78E5.0-0.5";;;
11;"R10,R9,R5,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10";;;
12;"R7,R6";"R_2512_6332Metric_Pad1.52x3.35mm_HandSolder";2;"20";;;
13;"R2";"R_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"50M";;;
14;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"RR01J2R0TB";;;
15;"Q1";"VSONP-8-1EP_5x6_P1.27mm";1;"CSD18563Q5A";;;
16;"K1";"RELAY_T9VV1K15-12S";1;"T9VV1K15-12S";;;
17;"F10,F9,F8,F7,F6,F5,F4,F3,F2,F1";"Fuseholder_Blade_Mini_Keystone_3568";10;"3568 Mini Blade";;;
18;"D1";"DO-214AA";1;"SMBJ15CA";;;
19;"C10,C8";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"1uF";;;
20;"C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"22nF";;;
21;"C5";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10u";;;
22;"C4,C3,C2";"CP_Radial_D18.0mm_P7.50mm";3;"URS1E472MHD";;;
23;"C1";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1u";;;
