"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"TE_1-776087-1";1;"Conn_01x23";;;
2;"R3";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10k";;;
3;"R4";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"120";;;
4;"R2,R1";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"100k";;;
5;"Y1";"Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering";1;"16MHz";;;
6;"U4";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"R-785.0-1.0";;;
7;"U3";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MCP2551-I-SN";;;
8;"U2";"SOIC-18W_7.5x11.6mm_P1.27mm";1;"MCP2515-xSO";;;
9;"U1";"TQFP-32_7x7mm_P0.8mm";1;"ATmega328P-AU";;;
10;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
11;"C6";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"10u";;;
12;"C5";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"1u";;;
13;"C4,C3,C2,C1";"C_0603_1608Metric_Pad1.05x0.95mm_HandSolder";4;"0.1u";;;
